symbol,prediction_date,actual_end_date,start_close_inr,predicted_close_inr,actual_close_inr,predicted_5d_return_pct,actual_5d_return_pct,absolute_error_pct_points,signal,direction_correct,strategy_return_after_cost_pct,training_rows,feature_count
RELIANCE.NS,2026-08-10,2026-08-17,1327.300048828125,1320.0031960145775,1316.0,-0.5497515667229891,-0.8513560169083001,0.301604450185311,SELL,True,0.0,1015,47
TCS.NS,2026-08-10,2026-08-17,2425.699951171875,2408.6184995162266,2313.199951171875,-0.7041865028440952,-4.637836594161215,3.93365009131712,SELL,True,0.0,1015,47
HDFCBANK.NS,2026-08-10,2026-08-17,731.0,733.2546342555434,729.0,0.3084314987063408,-0.2735978112175075,0.5820293099238483,HOLD,False,0.0,1015,47
INFY.NS,2026-08-10,2026-08-17,1183.0,1183.399512608652,1139.9000244140625,0.03377114189788699,-3.643277733384409,3.677048875282296,HOLD,False,0.0,1015,47
ICICIBANK.NS,2026-08-10,2026-08-17,1431.800048828125,1430.841925277343,1415.300048828125,-0.06691741291433573,-1.1523955466759883,1.0854781337616526,HOLD,True,0.0,1015,47
